country,iso2c,iso3c,year,NY.GDP.PCAP.PP.CD,status,lastupdated,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2013,2062.05917625276,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,1958.44762747924,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,2128.12593822669,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,2110.82956797747,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,1075.67137317936,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,971.811023482828,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,970.645114676507,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,943.116264973779,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,NA,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,NA,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,1336.21033898238,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,1749.93699491677,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,1771.19798501195,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,1575.31677908966,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,1287.06440027539,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,1120.89312847686,,2024-03-28,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Africa Eastern and Southern,ZH,AFE,2003,2341.18883140369,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2012,3215.01925816201,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2015,3507.30676139616,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2013,3340.32409869117,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2007,3015.19809240334,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2005,2640.37400555155,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2000,2145.48557889687,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2011,3299.65387136535,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,3478.69367741465,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2002,2280.98156275831,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2004,2474.29599766776,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2009,3084.84735964618,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2008,3126.18390740693,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2001,2217.21223922235,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2010,3194.06318305197,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2006,2827.02983510701,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2002,2324.77607208082,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2005,2781.18885529813,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2007,3091.4962096099,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2015,4080.28928811517,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2004,2620.90796989821,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2001,2152.24370276732,,2024-03-28,Aggregates,,,,Aggregates,Aggregates
